first_name,last_name,company_name,address,city,county,state,zip,phone1,phone1_valid,phone,phone_valid,email,email_valid
James,Butt,"Benton, John B Jr",6649 N Blue Gum St,New Orleans,Orleans,LA,70116,+91 9911005406,valid,504-845-1427,invalid,jbutt@gmail.com,valid
Josephine,Darakjy,"Chanay, Jeffrey A Esq",4 B Blue Ridge Blvd,Brighton,Livingston,MI,48116,+91 9810591454,valid,810-374-9840,invalid,josephine_darakjy@darakjy.org,invalid
Art,Venere,"Chemel, James L Cpa",8 W Cerritos Ave #54,Bridgeport,Gloucester,NJ,8014,+91 9886568785,valid,856-264-4130,invalid,art@venere.org,invalid
Lenna,Paprocki,Feltz Printing Service,639 Main St,Anchorage,Anchorage,AK,99501,(+91)12047165000,invalid,907-921-2010,invalid,lpaprocki@hotmail.com,valid
Donette,Foller,Printing Dimensions,34 Center St,Hamilton,Butler,OH,45011,(+1)8476123495,invalid,513-549-4561,invalid,donette.foller@cox.net,valid
Simona,Morasca,"Chapman, Ross E Esq",3 Mcauley Dr,Ashland,Ashland,OH,44805,(+1)8887232545,invalid,419-800-6759,invalid,simona@morasca.com,invalid
Mitsue,Tollner,Morlong Associates,7 Eads St,Chicago,Cook,IL,60632,+91 7456380863,valid,773-924-8565,invalid,mitsue_tollner@yahoo.com,valid
Leota,Dilliard,Commercial Press,7 W Jackson Blvd,San Jose,Santa Clara,CA,95111,(+1) 8474638978,invalid,408-813-1105,invalid,leota@hotmail.com,valid
Sage,Wieser,Truhlar And Truhlar Attys,5 Boston Ave #88,Sioux Falls,Minnehaha,SD,57105,+91 87263458764,valid,605-794-4895,invalid,sage_wieser@cox.net,valid
Kris,Marrier,"King, Christopher A Esq",228 Runamuck Pl #2808,Baltimore,Baltimore City,MD,21224,(+1) 8654731655,invalid,410-804-4694,invalid,kris@gmail.com,valid
Minna,Amigon,"Dorl, James J Esq",2371 Jerrold Ave,Kulpsville,Montgomery,PA,19443,+91 7634562456,valid,215-422-8694,invalid,minna_amigon@yahoo.com,valid
Abel,Maclead,Rangoni Of Florence,37275 St  Rt 17m M,Middle Island,Suffolk,NY,11953,631-335-3414,invalid,631-677-3675,invalid,amaclead@gmail.com,valid
Kiley,Caldarera,Feiner Bros,25 E 75th St #69,Los Angeles,Los Angeles,CA,90034,310-498-5651,invalid,310-254-3084,invalid,kiley.caldarera@aol.com,valid
Graciela,Ruta,Buckley Miller & Wright,98 Connecticut Ave Nw,Chagrin Falls,Geauga,OH,44023,440-780-8425,invalid,440-579-7763,invalid,gruta@cox.net,valid
Cammy,Albares,"Rousseaux, Michael Esq",56 E Morehead St,Laredo,Webb,TX,78045,956-537-6195,invalid,956-841-7216,invalid,calbares@gmail.com,valid
Mattie,Poquette,Century Communications,73 State Road 434 E,Phoenix,Maricopa,AZ,85013,602-277-4385,invalid,602-953-6360,invalid,mattie@aol.com,valid
Meaghan,Garufi,"Bolton, Wilbur Esq",69734 E Carrillo St,Mc Minnville,Warren,TN,37110,931-313-9635,invalid,931-235-7959,invalid,meaghan@hotmail.com,valid
Gladys,Rim,T M Byxbee Company Pc,322 New Horizon Blvd,Milwaukee,Milwaukee,WI,53207,414-661-9598,invalid,414-377-2880,invalid,gladys.rim@rim.org,valid
Yuki,Whobrey,Farmers Insurance Group,1 State Route 27,Taylor,Wayne,MI,48180,313-288-7937,invalid,313-341-4470,invalid,yuki_whobrey@aol.com,valid
Fletcher,Flosi,Post Box Services Plus,394 Manchester Blvd,Rockford,Winnebago,IL,61109,815-828-2147,invalid,815-426-5657,invalid,fletcher.flosi@yahoo.com,valid
Bette,Nicka,Sport En Art,6 S 33rd St,Aston,Delaware,PA,19014,610-545-3615,invalid,610-492-4643,invalid,bette_nicka@cox.net,valid
Veronika,Inouye,C 4 Network Inc,6 Greenleaf Ave,San Jose,Santa Clara,CA,95111,408-540-1785,invalid,408-813-4592,invalid,vinouye@aol.com,valid
Willard,Kolmetz,"Ingalls, Donald R Esq",618 W Yakima Ave,Irving,Dallas,TX,75062,972-303-9197,invalid,972-896-4882,invalid,willard@hotmail.com,valid
Maryann,Royster,"Franklin, Peter L Esq",74 S Westgate St,Albany,Albany,NY,12204,518-966-7987,invalid,518-448-8982,invalid,mroyster@royster.com,valid
Alisha,Slusarski,Wtlz Power 107 Fm,3273 State St,Middlesex,Middlesex,NJ,8846,732-658-3154,invalid,732-635-3453,invalid,alisha@slusarski.com,valid
Allene,Iturbide,"Ledecky, David Esq",1 Central Ave,Stevens Point,Portage,WI,54481,715-662-6764,invalid,715-530-9863,invalid,allene_iturbide@cox.net,valid
Chanel,Caudy,Professional Image Inc,86 Nw 66th St #8673,Shawnee,Johnson,KS,66218,913-388-2079,invalid,913-899-1103,invalid,chanel.caudy@caudy.org,invalid
